pledge_id,donor_id,pledge_year,pledge_amount,pledge_status,fulfillment_year
P001,D001,2022,5000,Fulfilled,2023
P002,D004,2022,7500,Fulfilled,2023
P003,D006,2022,10000,Fulfilled,2024
P004,D010,2022,15000,Fulfilled,2023
P005,D013,2022,6000,Fulfilled,2024
P006,D015,2022,8000,Fulfilled,2023
P007,D018,2022,5500,Fulfilled,2024
P008,D021,2022,12000,Fulfilled,2023
P009,D024,2022,7000,Fulfilled,2024
P010,D027,2022,11000,Fulfilled,2023
P011,D002,2023,2500,Fulfilled,2024
P012,D003,2023,2000,Fulfilled,2024
P013,D007,2023,1800,Fulfilled,2024
P014,D012,2023,2200,Fulfilled,2024
P015,D016,2023,2400,Fulfilled,2024
P016,D022,2023,2600,Fulfilled,2024
P017,D026,2023,2300,Fulfilled,2024
P018,D028,2023,2100,Fulfilled,2024
P019,D020,2023,3000,Lapsed,
P020,D009,2023,3500,Lapsed,
P021,D005,2024,500,Active,
P022,D008,2024,400,Active,
P023,D011,2024,700,Active,
P024,D014,2024,450,Active,
P025,D017,2024,600,Active,
P026,D019,2024,300,Active,
P027,D023,2024,550,Active,
P028,D025,2024,350,Active,
P029,D029,2024,500,Active,
P030,D030,2024,9000,Active,
